instant_x,dteday,season_x,yr_x,mnth_x,holiday_x,weekday_x,workingday_x,weathersit_x,temp_x,atemp_x,hum_x,windspeed_x,casual_x,registered_x,cnt_x,yr_deskripsi,season_deskripsi,instant_y,season_y,yr_y,mnth_y,hr,holiday_y,weekday_y,workingday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,cnt_y,kategorijam
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,springer,1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,malam
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,springer,2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,malam
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,springer,3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,malam
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,springer,4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,malam
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,springer,5,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,malam
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,springer,6,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,pagi
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,springer,7,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,pagi
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,springer,8,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,pagi
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,springer,9,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,pagi
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,springer,10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,pagi
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,springer,11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,pagi
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,springer,12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,siang
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,springer,13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,siang
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,springer,14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,siang
